date,cnt
1/31/2011,91
11/3/2015,86
1/9/2019,180
6/19/2020,314
8/17/2019,175
12/14/2020,321
12/26/2020,296
1/15/2019,170
12/24/2021,398
1/6/2019,199
5/6/2016,103
5/14/2010,94
4/25/2022,1259
7/22/2020,270
4/14/2018,176
4/29/2021,359
11/24/2020,343
7/21/2019,198
5/3/2022,585
9/6/2022,999
6/1/2017,128
2/10/2017,129
7/19/2021,401
11/30/2013,101
2/13/2022,587
6/10/2009,115
1/4/2021,369
12/11/2021,474
8/17/2014,112
6/30/2020,265
5/31/2021,366
7/15/2017,133
4/23/2021,337
8/9/2013,134
3/26/2018,153
12/16/2010,93
5/13/2012,110
1/11/2021,381
10/4/2021,825
3/11/2016,92
9/14/2022,1009
8/30/2011,120
2/21/2018,121
3/12/2017,132
1/24/2015,112
3/31/2020,352
4/20/2010,155
2/10/2020,261
5/14/2021,394
6/18/2016,107
11/13/2011,96
9/30/2009,79
3/5/2022,540
7/16/2018,175
7/19/2022,662
2/22/2010,86
11/12/2021,424
1/26/2019,150
1/24/2018,129
11/26/2020,276
3/30/2015,99
5/16/2010,86
12/7/2018,470
11/7/2009,87
4/9/2011,124
5/22/2019,180
2/1/2018,130
1/14/2021,348
1/19/2022,521
11/16/2015,106
7/5/2021,392
12/21/2018,156
3/12/2022,562
11/6/2012,115
6/23/2009,135
5/27/2019,159
11/21/2013,122
7/26/2012,113
2/10/2011,126
6/28/2018,138
10/20/2020,327
1/18/2017,166
5/9/2010,104
8/8/2021,359
5/26/2021,322
6/26/2021,319
10/30/2011,112
10/20/2015,80
6/3/2021,371
12/18/2014,79
6/6/2013,115
11/7/2014,106
2/3/2017,142
12/2/2019,196
2/14/2019,165
3/21/2020,346
3/22/2020,348
11/10/2021,471
9/2/2014,104
6/14/2012,123
1/26/2010,110
7/23/2018,147
2/16/2013,114
6/29/2020,275
3/26/2016,130
7/1/2009,147
11/9/2016,164
6/20/2012,120
3/1/2020,238
8/21/2015,107
4/21/2018,138
7/28/2020,273
5/25/2011,148
4/12/2011,107
4/26/2022,1810
9/8/2021,455
2/6/2010,82
1/30/2022,564
2/22/2018,147
12/10/2021,474
4/15/2020,309
11/2/2020,306
2/21/2019,147
1/29/2019,165
9/25/2020,236
3/9/2010,109
4/20/2018,125
4/17/2017,108
1/8/2019,202
9/4/2015,119
12/19/2019,205
3/17/2020,324
10/18/2020,297
10/29/2019,190
1/7/2014,135
4/28/2022,941
3/30/2013,94
7/29/2009,121
10/27/2015,139
2/16/2010,109
9/17/2019,188
11/2/2010,88
8/17/2022,759
4/28/2018,134
5/20/2021,401
2/28/2011,116
3/4/2012,138
11/24/2016,109
11/21/2017,144
1/6/2014,110
8/22/2021,370
10/3/2020,336
11/11/2015,136
1/18/2018,129
6/19/2015,87
6/7/2012,140
9/17/2011,119
4/23/2009,183
9/12/2021,398
1/10/2017,137
1/1/2018,165
3/18/2022,506
5/22/2014,97
3/6/2019,217
11/26/2010,79
3/10/2019,170
3/21/2022,592
10/30/2015,136
4/27/2018,139
3/12/2021,359
8/31/2016,117
3/26/2022,491
12/20/2019,190
6/15/2019,175
5/31/2020,400
2/2/2019,151
1/25/2020,204
2/21/2014,113
4/24/2015,78
7/13/2014,110
1/12/2015,113
7/15/2022,722
4/20/2020,358
5/3/2020,311
2/1/2020,257
4/16/2015,83
5/21/2022,531
3/31/2010,97
6/13/2012,140
3/29/2010,116
4/20/2021,404
10/30/2018,148
12/25/2012,104
3/5/2014,130
10/16/2017,148
10/10/2020,297
6/12/2022,764
2/10/2015,112
4/18/2020,418
10/1/2021,411
7/7/2020,282
6/11/2020,309
8/3/2021,433
10/1/2011,95
5/23/2022,575
4/4/2022,577
1/25/2013,108
1/26/2011,110
3/26/2020,362
10/8/2010,74
5/28/2016,116
8/14/2022,911
10/28/2017,115
2/29/2020,246
7/25/2020,259
9/18/2010,85
9/24/2011,101
4/10/2022,705
5/11/2020,320
2/17/2012,106
8/19/2022,781
10/12/2014,126
4/25/2021,393
8/4/2009,103
1/29/2011,107
4/3/2020,283
3/19/2015,112
5/3/2021,379
2/14/2022,546
1/26/2020,223
4/1/2022,522
10/29/2009,75
7/27/2020,260
5/24/2010,104
8/17/2013,105
3/18/2017,111
